ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
1459740	B	B1	None	3	8	B1-B14e-B14c-B1ai-B1x-B1ao-B1j-B1am	4946-59288-695008-53205-89233-29802-89854-29332	0.423[0.117]-0.208[0.057]-0.170[0.093]-0.063[0.012]-0.051[0.014]-0.034[0.014]-0.030[0.013]-0.020[0.006]
1459759	B	B19i/B6g	None	3	38	B19i/B6g-B6-B6a-B6b-B6i-B19as-B19af-B6h-B6c	1389996/1390002-62764-1390000-1389997-1389999-1389998-1390035-1390001-1390034	0.233[0.110]/0.141[0.092]-0.121[0.060]-0.120[0.091]-0.113[0.007]-0.083[0.018]-0.070[0.022]-0.047[0.024]-0.044[0.005]-0.028[0.024]
1459763	B	B1	None	3	25	B1-B14d-B1x-B1co-B1l-B14b-B1ao-B5dc	4946-693411-53205-1389982-30454-89854-29800-29495	0.553[0.004]-0.109[0.076]-0.095[0.032]-0.060[0.034]-0.056[0.011]-0.047[0.004]-0.044[0.004]-0.037[0.023]
1459816	B	B5p	None	3	20	B5p/B5/B5cb-B5a-B5bk	51922-29665-37517-52669-52666	0.404[0.018]-0.317[0.057]-0.164[0.048]-0.063[0.081]-0.051[0.057]
1460392	B	B1ia	None	3	6	B1ia	695214	1.000[0.000]
1459914	B	B1	None	3	21	B1-B1g-B1be-B1bh-B1x-B14b-B1az-B1ft-B6m	4946-53205-90035-89135-29476-29495-29275-3373448-3373449	0.618[0.050]-0.089[0.028]-0.061[0.026]-0.053[0.030]-0.049[0.013]-0.047[0.027]-0.038[0.026]-0.036[0.015]-0.010[0.003]
1459920	B	B5de	None	3	14	B5de-B1-B1el-B1et-B1eu	43338-4946-3373435-3373442-3373446	0.738[0.127]-0.140[0.119]-0.061[0.021]-0.035[0.019]-0.026[0.008]
1459741	B	B1	None	2	4	B1-B14c-B14e-B1x-B1ai-B1ao-B1j-B1am-B1an	4946-59288-695008-89233-29802-53205-89854-29332-29245	0.440[0.037]-0.210[0.037]-0.115[0.019]-0.050[0.009]-0.046[0.010]-0.045[0.005]-0.040[0.006]-0.027[0.010]-0.027[0.003]
1459751	B	B1	None	2	54	B1-B1br-B1g-B1dr-B1dq	4946-61924-44226-61925-29275	0.718[0.093]-0.103[0.054]-0.078[0.026]-0.068[0.013]-0.032[0.000]
1459757	B	B5aj	None	2	31	B1ec/B5aj/B1do-B1-B5db	1390195-1390196-29481-1390197-4946	0.406[0.112]-0.284[0.060]-0.190[0.079]-0.082[0.067]-0.038[0.040]
1460291	B	B1	None	2	7	B1/B5de-B5	4946-29665-43338	0.622[0.019]-0.223[0.187]-0.155[0.168]
1460294	B	B19	None	2	54	B19/B1	37844-4946	0.686[0.019]-0.314[0.019]
1459791	B	B5	None	2	45	B5-B5a-B5d-B5ae-B5v-B5g	29665-37517-64698-37518-37522-37521	0.671[0.059]-0.114[0.015]-0.110[0.070]-0.039[0.012]-0.034[0.000]-0.033[0.008]
1460310	B	B19au	None	2	9	B19au/B19	3662214-37844	0.949[0.009]-0.051[0.009]
1459806	B	B5p/B5	None	2	3	B5p/B5-B5bk-B5a	51922/29665-52669-37517	0.414[0.009]/0.384[0.039]-0.143[0.103]-0.060[0.072]
1459817	B	B5	None	2	24	B5-B5a-B5d-B5b-B5i-B5c-B5ac	29665-37517-37526-37527-37562-37518-37593	0.564[0.050]-0.144[0.019]-0.093[0.027]-0.077[0.037]-0.044[0.007]-0.042[0.026]-0.036[0.001]
1459847	B	B5aj	None	2	30	B1do/B1ec/B5aj-B5db-B1ee	1390195-29481-1390196-1390197-2768977	0.375[0.042]-0.259[0.019]-0.206[0.041]-0.110[0.025]-0.049[0.038]
1459848	B	B1do	None	2	20	B1do-B1ei-B1eo-B1-B1ej-B1ep	29481-1390227-4946-2768937-1390229-2768938	0.472[0.008]-0.161[0.033]-0.153[0.072]-0.104[0.066]-0.079[0.069]-0.032[0.029]
1459882	B	B1	None	2	6	B1-B1bw-B1au-B1dm-B14h	4946-1390055-29806-29621-1390058	0.709[0.048]-0.093[0.000]-0.075[0.051]-0.067[0.027]-0.056[0.071]
1459918	B	B1	None	2	84	B1-B1x-B1ai-B14e-B1ao-B1j-B1am-B1eh-B14c	4946-59288-53205-89233-29802-695008-2156752-89854-29332	0.543[0.001]-0.087[0.027]-0.069[0.014]-0.069[0.016]-0.056[0.005]-0.053[0.003]-0.046[0.008]-0.042[0.003]-0.035[0.001]
1459928	B	B1ei	None	2	6	B1ei/B1-B1do-B1ej	1390227-29481-4946-2768937	0.428[0.056]-0.370[0.049]-0.137[0.080]-0.065[0.025]
1459964	B	B1	None	2	3	B1-B1bw-B1au-B1by-B14h	4946-29806-1390055-29424-1390058	0.763[0.085]-0.066[0.026]-0.065[0.009]-0.059[0.022]-0.046[0.046]
1459973	B	B1	None	2	4	B1-B1by-B14h-B1bw-B1au-B1x	4946-29424-1390058-1390055-29806-53205	0.717[0.014]-0.111[0.017]-0.061[0.006]-0.049[0.007]-0.036[0.007]-0.027[0.004]
1460026	B	B5/B5p	None	2	15	B5/B5p/B5a-B5m-B5bk	29665/51922-37517-52669-37520	0.355[0.007]/0.323[0.049]-0.153[0.040]-0.125[0.000]-0.043[0.002]
1460093	B	B1	None	2	92	B1-B1co-B1ai-B1x-B14d-B1t-B1az-B14c	4946-89135-89233-53205-693415-693411-59288-30454	0.758[0.050]-0.066[0.028]-0.057[0.014]-0.037[0.018]-0.034[0.015]-0.023[0.008]-0.014[0.003]-0.011[0.009]
1460108	B	B1	None	2	90	B1-B1by-B1bw-B1dm-B1au-B14b	4946-29424-1390055-29495-29621-29806	0.792[0.098]-0.061[0.043]-0.051[0.020]-0.037[0.016]-0.033[0.015]-0.025[0.005]
1460172	B	B5aj	None	2	6	B5aj-B1do-B1-B5ej	1390195-29481-4946-3373403	0.558[0.058]-0.299[0.070]-0.094[0.017]-0.049[0.005]
1460179	B	B1	None	2	4	B1-B1x-B1az-B1t-B14b-B14d-B1ae	4946-53205-89135-693415-29495-693411-29395	0.697[0.013]-0.074[0.005]-0.061[0.004]-0.060[0.007]-0.040[0.009]-0.039[0.018]-0.029[0.015]
1460178	B	B1cg	None	2	13	B1/B1cg	25424-4946	0.601[0.140]-0.399[0.140]
1460187	B	B1	None	2	4	B1-B1az	4946-89135	0.903[0.019]-0.097[0.019]
1459702	B	B5	None	2	2	B5-B5a-B5d-B5ae-B5v	29665-37517-37518-64698-37522	0.695[0.035]-0.104[0.018]-0.098[0.009]-0.065[0.001]-0.038[0.008]
1460215	B	B19i	None	2	12	B19i/B6/B6e-B6b-B19af-B6a-B19as-B6g	1389996-62764-1389997-1389998-1390000-1389999-1390002-1390003	0.272[0.017]-0.199[0.019]-0.194[0.014]-0.112[0.020]-0.086[0.011]-0.079[0.013]-0.035[0.003]-0.024[0.004]
1459713	B	B5	None	1	1	B5-B5a-B5b-B5d-B5c	29665-37517-37526-37518-37527	0.617[nan]-0.188[nan]-0.083[nan]-0.075[nan]-0.038[nan]
1460230	B	B1	None	1	28	B1-B5de-B1br-B1dr-B1dq-B1ev	4946-43338-44226-30572-61924-61925	0.728[nan]-0.078[nan]-0.062[nan]-0.054[nan]-0.041[nan]-0.037[nan]
1459753	B	B1	None	1	14	B1-B5cc	4946-1389972	0.982[nan]-0.018[nan]
1460268	B	B1	None	1	10	B1-B1ai-B1x	4946-89233-53205	0.765[nan]-0.204[nan]-0.031[nan]
1459761	B	B1	None	1	11	B1-B1x-B1af-B1ae-B14d-B1ag-B1t-B1az	4946-53205-693411-693415-89135-698180-89237-29395	0.630[nan]-0.106[nan]-0.067[nan]-0.060[nan]-0.047[nan]-0.039[nan]-0.034[nan]-0.018[nan]
1459766	B	B1	None	1	7	B1-B1ed	4946-89166	0.871[nan]-0.129[nan]
1460279	B	B1	None	1	2	B1-B10b-B1bw	4946-30130-1390055	0.806[nan]-0.175[nan]-0.018[nan]
1460306	B	B5	None	1	7	B5-B5ay	29665-37591	0.875[nan]-0.125[nan]
1459797	B	B5	None	1	28	B5-B5a-B5bm-B5bl	29665-37517-45368-2150840	0.487[nan]-0.373[nan]-0.080[nan]-0.059[nan]
1460313	B	B2	None	1	40	B2	21914	1.000[nan]
1460324	B	B5e	None	1	5	B5e	37524	1.000[nan]
1460330	B	B1g	None	1	31	B1g	29275	1.000[nan]
1460336	B	B19z	None	1	4	B19z	1913850	1.000[nan]
1459863	B	B1	None	1	17	B1-B1ef	4946-694600	0.968[nan]-0.032[nan]
1459865	B	B1	None	1	516	B1-B1by-B1bw-B1dm-B1au-B14h-B1x-B1bx	4946-1390055-29424-29806-1390058-29621-53205-29359	0.691[nan]-0.089[nan]-0.084[nan]-0.042[nan]-0.040[nan]-0.032[nan]-0.014[nan]-0.008[nan]
1459869	B	B1	None	1	2	B1-B1by-B1bw-B1dm	4946-29424-1390055-29621	0.868[nan]-0.071[nan]-0.039[nan]-0.021[nan]
1460391	B	B1ht	None	1	2	B1ht	5737019	1.000[nan]
1459908	B	B5p	None	1	11	B5p/B5-B5a	51922-29665-37517	0.749[nan]-0.244[nan]-0.008[nan]
1459909	B	B1	None	1	17	B1-B1br-B1g	4946-44226-29275	0.904[nan]-0.073[nan]-0.023[nan]
1459921	B	B14d	None	1	1	B14d-B1-B5dc-B5dg-B1x-B1ao	693411-4946-1389982-1389984-53205-89854	0.378[nan]-0.327[nan]-0.215[nan]-0.042[nan]-0.023[nan]-0.013[nan]
1459925	B	B1	None	1	35	B1-B1x-B14d-B1ao-B1co-B1l-B1j	4946-53205-30454-89854-693411-29800-29802	0.612[nan]-0.090[nan]-0.080[nan]-0.067[nan]-0.064[nan]-0.046[nan]-0.041[nan]
1459926	B	B1	None	1	2	B1-B1x-B14b-B14d-B14c-B1co	4946-53205-29495-693411-59288-30454	0.725[nan]-0.101[nan]-0.077[nan]-0.063[nan]-0.029[nan]-0.005[nan]
1459930	B	B1do	None	1	2	B1do-B1ei-B1-B1ej-B1eo	29481-1390227-4946-2768937-1390229	0.409[nan]-0.227[nan]-0.193[nan]-0.107[nan]-0.065[nan]
1459939	B	B1	None	1	29	B1-B1x-B14d-B5dg-B5dc-B1ao-B1cn-B1dn	4946-53205-1389982-1389984-89854-693411-1389983-1389979	0.556[nan]-0.116[nan]-0.105[nan]-0.091[nan]-0.042[nan]-0.034[nan]-0.029[nan]-0.028[nan]
1459946	B	B14d	None	1	30	B1/B14d-B14b-B1x-B1co-B1ai-B14i-B1j	693411-4946-1390071-30454-29495-53205-89233-29802	0.338[nan]-0.308[nan]-0.141[nan]-0.049[nan]-0.047[nan]-0.043[nan]-0.038[nan]-0.036[nan]
1459968	B	B1	None	1	25	B1-B1by-B1dm-B1en-B1bw	4946-29424-1390055-29621-2769048	0.866[nan]-0.055[nan]-0.046[nan]-0.016[nan]-0.016[nan]
1459972	B	B1	None	1	2	B1-B1bw-B1au-B1dm-B1by	4946-1390055-29806-29621-29424	0.761[nan]-0.086[nan]-0.055[nan]-0.050[nan]-0.048[nan]
1459991	B	B1	None	1	2	B1-B1br-B1dr	4946-44226-61924	0.765[nan]-0.118[nan]-0.118[nan]
1459998	B	B1	None	1	1	B1-B14d-B14c-B1x-B1t-B1az-B1ae	4946-693411-59288-53205-693415-89135-29395	0.333[nan]-0.241[nan]-0.228[nan]-0.061[nan]-0.057[nan]-0.044[nan]-0.035[nan]
1466138	B	B1	None	1	103	B1-B1x-B1ai-B1j-B1ao-B14e-B1am-B14c-B1eh-B14b	4946-59288-695008-2156752-29802-53205-89233-89854-29332-29495	0.301[nan]-0.227[nan]-0.175[nan]-0.079[nan]-0.065[nan]-0.053[nan]-0.045[nan]-0.026[nan]-0.018[nan]-0.011[nan]
1460006	B	B1	None	1	14	B1-B1fu-B1fv	4946-89812-1913651	0.851[nan]-0.083[nan]-0.066[nan]
1460014	B	B1do	None	1	37	B1do-B1-B1ei-B1fw-B1ej	29481-4946-1390227-44224-2768937	0.702[nan]-0.142[nan]-0.116[nan]-0.027[nan]-0.013[nan]
1460019	B	B1	None	1	13	B1-B1bu	4946-30123	0.935[nan]-0.065[nan]
1460023	B	B1	None	1	13	B1/B1do	4946-29481	0.511[nan]-0.489[nan]
1460025	B	B5aj	None	1	1	B5aj-B5db-B1ec-B1do	1390195-1390197-1390196-29481	0.539[nan]-0.206[nan]-0.177[nan]-0.078[nan]
1466180	B	B5ae	None	1	7	B5ae	64698	1.000[nan]
1466182	B	B1t	None	1	8	B1t	693415	1.000[nan]
1460051	B	B1	None	1	11	B1-B1g-B1h-B1i	4946-29227-29275-29343	0.811[nan]-0.096[nan]-0.053[nan]-0.039[nan]
1460065	B	B1	None	1	16	B1-B1as-B1ci	4946-1389974-25829	0.936[nan]-0.037[nan]-0.026[nan]
1460092	B	B1	None	1	114	B1-B1br-B5dx-B5eb-B1gs-B1dq-B1g	4946-89810-63929-30126-44226-61925-29275	0.737[nan]-0.069[nan]-0.065[nan]-0.060[nan]-0.037[nan]-0.023[nan]-0.009[nan]
1460096	B	B1	None	1	2	B1-B1ai-B1x-B1az-B14d-B1co-B1t	4946-89233-53205-89135-693411-30454-693415	0.750[nan]-0.105[nan]-0.047[nan]-0.046[nan]-0.026[nan]-0.021[nan]-0.005[nan]
1460102	B	B14c	None	1	3	B1/B14c-B14e-B1ai-B1x-B1ao-B1j	59288-4946-695008-89233-53205-89854-29802	0.305[nan]-0.274[nan]-0.273[nan]-0.063[nan]-0.049[nan]-0.026[nan]-0.011[nan]
1460105	B	B1	None	1	2	B1-B1co-B14d-B1t-B1ai-B1x	4946-30454-693411-693415-89233-53205	0.776[nan]-0.088[nan]-0.046[nan]-0.038[nan]-0.028[nan]-0.026[nan]
1460147	B	B1	None	1	1	B1-B14d-B14c-B1t-B1x	4946-693411-59288-693415-53205	0.497[nan]-0.177[nan]-0.158[nan]-0.114[nan]-0.054[nan]
1460151	B	B1	None	1	5	B1/B14d	4946-693411	0.984[nan]-0.016[nan]
1460160	B	B1	None	1	2	B1-B1x-B14b-B1ai-B1az-B1be	4946-53205-29495-89233-89135-29476	0.714[nan]-0.103[nan]-0.064[nan]-0.059[nan]-0.039[nan]-0.020[nan]
1460168	B	B5	None	1	3	B5-B5dr-B5ds-B1id	29665-1402208-45548-2151309	0.788[nan]-0.101[nan]-0.057[nan]-0.054[nan]
1460180	B	B2	None	1	2	B2-B2f-B19bn-B2m	21914-22017-5737009-22371	0.821[nan]-0.097[nan]-0.048[nan]-0.034[nan]
1460188	B	B1hx	None	1	2	B1hx-B1-B1cg-B1o-B1hy	89570-4946-25424-29213-5737028	0.569[nan]-0.293[nan]-0.052[nan]-0.051[nan]-0.034[nan]
1460201	B	B1	None	1	2	B1-B14d-B1x-B1ao-B5el-B1co	4946-693411-53205-89854-5737064-30454	0.482[nan]-0.210[nan]-0.121[nan]-0.070[nan]-0.062[nan]-0.055[nan]
1460198	B	B6g	None	1	2	B6g-B6-B19i-B6b-B6r-B19af-B19-B19bo	1390002-62764-1389996-1389997-1390010-1389998-37844-1390014	0.188[nan]-0.177[nan]-0.137[nan]-0.119[nan]-0.109[nan]-0.101[nan]-0.094[nan]-0.076[nan]
1459697	B	B5	None	1	3	B5-B5c-B5a-B5b-B5i-B5g-B5f-B5l	29665-37517-37527-37593-37521-37563-37526-37826	0.668[nan]-0.080[nan]-0.065[nan]-0.046[nan]-0.042[nan]-0.042[nan]-0.038[nan]-0.019[nan]
1459704	B	B5a	None	1	1	B5a-B5-B5d	37517-29665-37518	0.593[nan]-0.392[nan]-0.015[nan]
